Bug_id,Detailed Fix,Semantic Categorization,Comment,,,,,,,,,,,,,,,,,,,
Lang_65b2,"623a624,626
>         if (field == Calendar.MILLISECOND) {
>             return;
>         }
630a634,636
>         Date date = val.getTime();
>         long time = date.getTime();
>         boolean done = false;
632a639,645
>         int millisecs = val.get(Calendar.MILLISECOND);
>         if (!round || millisecs < 500) {
>             time = time - millisecs;
>             if (field == Calendar.SECOND) {
>                 done = true;
>             }
>         }
...
...
638a663,666
>         if (date.getTime() != time) {
>             date.setTime(time);
>             val.setTime(date);
>         }
708a737
>             if (offset != 0) {
709a739
>             }","EOH:Essentially-one-hunk
FU:Fix-and-undo","The hunks except the last one are really just one big hunk, as they are separated by comments.
The first big fix (hunk) is created only to handle the main part, i.e., truncate the date.
The second fix (hunk) is mainly for cleanup. It is used to undo setting the calendar field, as this has already been done by the first fix.

NOTE: Lang_65b1/b2/b3 have different parts missing in the first big merged hunk. The types of fixes are however the same.",,,,,,,,,,,,,,,,,,,
Lang_65b3,"623a624,626
>         if (field == Calendar.MILLISECOND) {
>             return;
>         }
630a634,636
>         Date date = val.getTime();
>         long time = date.getTime();
>         boolean done = false;
632a639,645
>         int millisecs = val.get(Calendar.MILLISECOND);
>         if (!round || millisecs < 500) {
>             time = time - millisecs;
>             if (field == Calendar.SECOND) {
>                 done = true;
>             }
>         }
...
...
638a663,666
>         if (date.getTime() != time) {
>             date.setTime(time);
>             val.setTime(date);
>         }
708a737
>             if (offset != 0) {
709a739
>             }","EOH:Essentially-one-hunk
FU:Fix-and-undo","The hunks except the last one are really just one big hunk, as they are separated by comments.
The first big fix (hunk) is created only to handle the main part, i.e., truncate the date.
The second fix (hunk) is mainly for cleanup. It is used to undo setting the calendar field, as this has already been done by the first fix.

NOTE: Lang_65b1/b2/b3 have different parts missing in the first big merged hunk. The types of fixes are however the same.",,,,,,,,,,,,,,,,,,,
Math_12b1,"18a19
> import java.io.Serializable;
29c30,31
<     implements RandomGenerator {
---
>     implements RandomGenerator,
>                Serializable {",DU:Def-and-use,DU location distance: 9 (import involved),,,,,,,,,,,,,,,,,,,
Math_17b1,"1602a1603
>         if (x >= 0 && x < RADIX) {
1603a1605,1607
>         } else {
>             return multiply(newInstance(x));
>         }",OA:One-action,"Essentially a single-hunk fix
Partial fixes raise compiler errors
This may be considered as one repair action

OA location distance: 1",,,,,,,,,,,,,,,,,,,
Math_37b1,"1063c1069
 < if (isNaN) {
 ---
 > if (isNaN || Double.isInfinite(imaginary)) {
 1064a1071,1076
 > }
 > if (real > 20.0) {
 > return createComplex(1.0, 0.0);
 > }
 > if (real < -20.0) {
 > return createComplex(-1.0, 0.0);",ONPF:Original-and-new-problem-fix,"The 2nd fix is needed to handle this case where the real part of a complex number is too large.

1st fix deals with a new problem raised by the 2nd fix. That is, with 2nd fix made, a complex number (inf, inf) is incorrectly computed as (1.0, 0.0), but should be NaN. To address this, 1st fix checks the imaginary part and returns NaN, when necessary.

Note that, without the 2nd fix, 1st fix is not needed. This is because the computation (done at the end of the target method) can lead to the generation of a NaN.",,,,,,,,,,,,,,,,,,,
Math_37b2,"1018c1018
 < if (isNaN) {
 ---
 > if (isNaN || Double.isInfinite(real)) {
 1020a1021,1026
 > if (imaginary > 20.0) {
 > return createComplex(0.0, 1.0);
 > }
 > if (imaginary < -20.0) {
 > return createComplex(0.0, -1.0);
 > }",ONPF:Original-and-new-problem-fix,Same as Math_37b1.,,,,,,,,,,,,,,,,,,,
Math_55b1,"458a459,463
>       final double n1 = v1.getNormSq();
>       final double n2 = v2.getNormSq();
>       if ((n1 * n2) < MathUtils.SAFE_MIN) {
>           return ZERO;
>       }
461a467,473
>       final int deltaExp = (FastMath.getExponent(n1) - FastMath.getExponent(n2)) / 4;
>       final double x1    = FastMath.scalb(v1.x, -deltaExp);
>       final double y1    = FastMath.scalb(v1.y, -deltaExp);
>       final double z1    = FastMath.scalb(v1.z, -deltaExp);
>       final double x2    = FastMath.scalb(v2.x,  deltaExp);
>       final double y2    = FastMath.scalb(v2.y,  deltaExp);
>       final double z2    = FastMath.scalb(v2.z,  deltaExp);
469a482,483
>       final double ratio = (x1 * x2 + y1 * y2 + z1 * z2) / FastMath.scalb(n2, 2 * deltaExp);
>       final double rho   = FastMath.rint(256 * ratio) / 256;
470a485,487
>       final double x3 = x1 - rho * x2;
>       final double y3 = y1 - rho * y2;
>       final double z3 = z1 - rho * z2;
473c490
<       return new Vector3D(v1.y * v2.z - v1.z * v2.y, v1.z * v2.x - v1.x * v2.z, v1.x * v2.y - v1.\
y * v2.x);
---
>       return new Vector3D(y3 * z2 - z3 * y2, z3 * x2 - x3 * z2, x3 * y2 - y3 * x2);",EOH:Essentially-one-hunk,Hunks are separated by comments only.,,,,,,,,,,,,,,,,,,,
Math_88b1,"328a329
>         Set<Integer> basicRows = new HashSet<Integer>();
330a332
>             if (basicRows.contains(basicRow)) {
332a335,337
>                 coefficients[i] = 0;
>             } else {
>                 basicRows.add(basicRow);
336,341d340 [DELETE]
<             if (basicRow != null) {
<                 for (int j = getNumObjectiveFunctions(); j < getNumObjectiveFunctions() + i; j++) {
<                     if (tableau.getEntry(basicRow, j) == 1) {
<                          coefficients[i] = 0;
<                     }
<                 }","DU:Def-and-use
FU:Fix-and-undo","The last fix is basically a cleanup -- if setting coefficient=0 is done with the fix made at 330 (using basicRows to check whether basicRow is contained), then part deleted by the last fix, which seems to do a redundant job needs an undo.

The 2nd (and 3rd) fix is the key move. As noted in the code comments, if multiple variables can take a given value, then we choose the first and set the rest equal to 0.

I don't quite understand the semantics though.

ADDITIONAL OBSERVATION: H4 (last fix) can cause all previous failing tests to pass but one passing test (testLargeModel) to fail.

DU location distance: 2",,,,,,,,,,,,,,,,,,,
Math_93b1,"345,346c345,348
<         long result = Math.round(factorialDouble(n));
<         if (result == Long.MAX_VALUE) {
---
>         if (n < 0) {
>             throw new IllegalArgumentException(""must have n >= 0 for n!"");
>         }
>         if (n > 20) {
376a379,381
>         if (n < 21) {
>             return factorial(n);
>         }",RIF:Related-issue-fix,"Special-case checks are added for high-level (factorialDouble) and low-level (factorial) methods

For high-level method (factorialDouble), an if-statement is used to check whether n is less than 21, and if so, it calls the low-level method (factorial),  which further checks if n is less than 0 or more than 20 (too big for factorial).

Related-issue-fix: Related-call-fix.",,,,,,,,,,,,,,,,,,,
Math_95b1,"144c144
<         double ret;
---
>         double ret = 1.0;
145a146
>         if (d > 2.0) {
147a149
>         }",ONPF:Original-and-new-problem-fix,"The bug arises from computing the initial domain for inverse probability distribution.

Fixing the problem (by adding d>2.0) triggers new problem (without defining ret and raises compiler error).",,,,,,,,,,,,,,,,,,,
Math_100b1,"166c166
<         final int cols = problem.getAllParameters().length;
---
>         final int cols = problem.getUnboundParameters().length;
202c202
<         int p = problem.getAllParameters().length;
---
>         int p = problem.getUnboundParameters().length;
207c207
<         double[] errors = new double[problem.getAllParameters().length];
---
>         double[] errors = new double[problem.getUnboundParameters().length];",RIF:Related-issue-fix,All by changing getUnboundParameters into getAllParameters,,,,,,,,,,,,,,,,,,,
Math_102b1,"73a74,85
>         double sumExpected = 0d;
>         double sumObserved = 0d;
>         for (int i = 0; i < observed.length; i++) {
>             sumExpected += expected[i];
>             sumObserved += observed[i];
>         }
>         double ratio = 1.0d;
>         boolean rescale = false;
>         if (Math.abs(sumExpected - sumObserved) > 10E-6) {
>             ratio = sumObserved / sumExpected;
>             rescale = true;
>         }
76a89,92
>             if (rescale) {
>                 dev = ((double) observed[i] - ratio * expected[i]);
>                 sumSq += dev * dev / (ratio * expected[i]);
>             } else {
78a95
>             }","DU:Def-and-use
SU:Setup-and-use
OA:One-action","For computing chi square, new variables ratio and rescale are introduced by the 1st fix. Then the 2nd fix involves using these variables for computing values with rescaling enabled.

DU location distance: 3
SU location distance: 3
OA location distance: 2
",,,,,,,,,,,,,,,,,,,
Math_103b1,"108a109
>         try {
110a112,120
>         } catch (MaxIterationsExceededException ex) {
>             if (x < (mean - 20 * standardDeviation)) { // JDK 1.5 blows at 38
>                 return 0.0d;
>             } else if (x > (mean + 20 * standardDeviation)) {
>                 return 1.0d;
>             } else {
>                 throw ex;
>             }
>         }",OA: One-action,OA location distance: 2,,,,,,,,,,,,,,,,,,,
Closure_22b1,"101,104c101
<     if (parent.getType() == Token.COMMA) {
<       Node gramps = parent.getParent();
<       if (gramps.isCall() && parent == gramps.getFirstChild()) {
<         if (n == parent.getFirstChild() && parent.getChildCount() == 2 && n.getNext().isName() &&\
 ""eval"".equals(n.getNext().getString())) {
---
>     if (n.isExprResult() || n.isBlock()) {
106d102
<         }
111,125c107
<       if (n == parent.getLastChild()) {
<         for (Node an : parent.getAncestors()) {
<           int ancestorType = an.getType();
<           if (ancestorType == Token.COMMA)
<             continue;
<           if (ancestorType != Token.EXPR_RESULT && ancestorType != Token.BLOCK)
<             return;
<           else
<             break;
<         }
<       }
<     } else if (parent.getType() != Token.EXPR_RESULT && parent.getType() != Token.BLOCK) {
<       if (parent.getType() == Token.FOR && parent.getChildCount() == 4 && (n == parent.getFirstCh\
ild() ||
<            n == parent.getFirstChild().getNext().getNext())) {
<       } else {
---
>     if (n.isQualifiedName() && n.getJSDocInfo() != null) {
127d108
<       }",EOH:Essentially-one-hunk,"The fixes are created to avoid removing a block or an expr result. This is because they have already handled these cases when we visit the child, and the peephole passes will fix up the tree in more clever ways when these are removed.

Hunks are separated by comments.",,,,,,,,,,,,,,,,,,,
Closure_25b1,"1035a1036
>     scope = traverseChildren(n, scope);
1054a1055
>           backwardsInferenceFromCallSite(n, ct);
",SU:Setup-and-use,"It's hard to understand the code. The bug arises from doing type inference for creating a new instance in Javascript, in this case ""new F(y);"". As far as I can tell, the first hunk is used to do a traversal to identify types of ""F"" and ""y"". Then the second hunk, based on the correct traversal result, can do the right backward inference, from which the type of F(..) is identified.
So I would say that in this case the first hunk is used to do the right setup, which the backward inference relies on to work correctly.
So I consider the first hunk as half-way no effect and the second as half-way regression since without the right setup the backward inference can be incorrect.

SU location distance: 19",,,,,,,,,,,,,,,,,,,
Closure_41b1,"291a292,294
>       while (oldParams.hasNext()) {
>         paramBuilder.newParameterFromNode(oldParams.next());
>       }
482a486,491
>     if (!isVarArgs) {
>       while (oldParameterType != null && !isVarArgs) {
>         builder.newParameterFromNode(oldParameterType);
>         oldParameterType = oldParameterType.getNext();
>       }
>     }",RIF:Related-issue-fix,"Both hunks are used to handle copying old parameters for inferring parameter types. The fixes are thus similar.

As explained by the comment, fixes are used to ""Clone any remaining params that aren't in the function literal."" and ""Copy over any old parameters that aren't in the param list."" (though I don't understand what it means).",,,,,,,,,,,,,,,,,,,
Closure_56b1,"241a242
>       if (pos >= js.length()) {
242a244,246
>       } else {
>         return js.substring(pos, js.length());
>       }",OA:One-action,OA location distance: 1,,,,,,,,,,,,,,,,,,,
Closure_85b1,"183c170
<           Node fallThrough = tryRemoveUnconditionalBranching(computeFollowing(n));
---
>           Node fallThrough = computeFollowing(n);
195a183,189
>     while (next != null && next.getType() == Token.BLOCK) {
>       if (next.hasChildren()) {
>         next = next.getFirstChild();
>       } else {
>         next = computeFollowing(next);
>       }
>     }",FU:Fix-and-undo,"It seems adding the while loop can peel off the block structure and and recursively calling tryRemoveUnconditionalBranching should be undone.

Second hunk is the fix part, and first hunk is the undo.",,,,,,,,,,,,,,,,,,,
Closure_98b1,"360a361,368
>       for (BasicBlock block = ref.getBasicBlock();
>            block != null; block = block.getParent()) {
>         if (block.isFunction) {
>           break;
>         } else if (block.isLoop) {
>           return false;
>         }
>       }
544a553
>     private final boolean isFunction;
548a558
>     private final boolean isLoop;
560a571
>       this.isFunction = root.getType() == Token.FUNCTION;
561a573,580
>       if (root.getParent() != null) {
>         int pType = root.getParent().getType();
>         this.isLoop = pType == Token.DO ||
>             pType == Token.WHILE ||
>             pType == Token.FOR;
>       } else {
>         this.isLoop = false;
>       }","DU:Def-and-use
SU:Setup-and-use","Fix is done by first defining isFunction (544) and isLoop (548) and further doing some setup work (560 & 561) for them.

The definition and setup for isFunction and isLoop are used to create a fix to ensure that, in isAssignedOnceinLifeTime method, assignment is performed only once and not performed in a loop.

DU location distance: 16 (class field involved)
SU location distance: 200",,,,,,,,,,,,,,,,,,,
Closure_100b2,"98a99,105
>       int pType = parent.getType();
>       if (!(pType == Token.BLOCK ||
>             pType == Token.SCRIPT ||
>             pType == Token.NAME ||
>             pType == Token.ASSIGN)) {
>         return false;
>       }
146c153
<     return false;
---
>     return parent != null && NodeUtil.isGet(parent);",DIF:Different-issue-fix,"First fix is to avoid traversing functions of certain types for finding unsafe uses of this referencing global objects.

Second fix is to report THIS with a property access.

These fixes seem to handle different issues that are both related to the final goal finding, which is handling this referencing global objects.",,,,,,,,,,,,,,,,,,,
Closure_124b1,"212a213
>     while (node.isGetProp()) {
213a215
>     }",OA:One-action,OA location distance: 1,,,,,,,,,,,,,,,,,,,
